sfc_wspd,sfc_wdir,t_slow,rh_slow,t_fast,dewpoint,der_rh,pressure,compass_dir,gps_date,gps_time,lat,lon,gps_alt,gps_spd,gps_dir,panel_temp,qc1,qc2,qc3,qc4
0.196,190.4,20.1,67.2,20.03,13.85,67.54,960.69,86.7,10425,192042,35.18173,-97.43927,328.5,0.0,294.6,23.8,0,1,0,0
0.196,188.8,20.1,67.3,20.06,13.87,67.53,960.7,86.8,10425,192043,35.18173,-97.43927,328.6,0.0,294.6,23.8,0,1,0,0
0.196,180.6,20.1,67.3,20.06,13.87,67.53,960.71,86.9,10425,192044,35.18173,-97.43927,328.6,0.0,294.6,23.8,0,1,0,0
0.196,186.0,20.1,67.3,20.06,13.87,67.53,960.73,86.8,10425,192045,35.18173,-97.43927,328.6,0.0,294.6,23.8,0,1,0,0
0.196,189.2,20.1,67.3,20.05,13.87,67.56,960.73,86.8,10425,192046,35.18173,-97.43927,328.6,0.0,294.6,23.8,0,1,0,0
0.196,179.7,20.1,67.3,20.04,13.87,67.63,960.74,86.7,10425,192047,35.18173,-97.43927,328.6,0.0,294.6,23.8,0,1,0,0
0.196,195.6,20.1,67.3,20.01,13.87,67.72,960.74,86.7,10425,192048,35.18173,-97.43927,328.6,0.0,294.6,23.81,0,1,0,0
0.196,179.1,20.1,67.3,20.01,13.87,67.75,960.74,86.8,10425,192049,35.18173,-97.43927,328.6,0.0,294.6,23.81,0,1,0,0
0.196,176.0,20.1,67.3,20.0,13.87,67.77,960.74,86.8,10425,192050,35.18173,-97.43927,328.6,0.0,294.6,23.81,0,1,0,0
0.196,191.1,20.1,67.4,20.0,13.89,67.88,960.74,86.7,10425,192051,35.18173,-97.43926,328.9,0.0,294.6,23.81,0,1,0,0
0.196,173.0,20.1,67.4,19.99,13.89,67.92,960.75,86.8,10425,192052,35.18173,-97.43926,329.1,0.0,294.6,23.81,0,1,0,0
0.196,161.5,20.1,67.4,19.96,13.89,68.07,960.76,86.7,10425,192053,35.18173,-97.43926,329.4,0.0,294.6,23.81,0,1,0,0
0.196,182.2,20.1,67.4,19.94,13.89,68.15,960.75,86.5,10425,192054,35.18173,-97.43926,329.6,0.0,294.6,23.81,0,1,0,0
0.196,189.2,20.1,67.4,19.91,13.89,68.25,960.7,86.6,10425,192055,35.18173,-97.43926,329.9,0.0,294.6,23.82,0,1,0,0
0.196,183.1,20.1,67.4,19.88,13.89,68.4,960.7,86.6,10425,192056,35.18173,-97.43926,330.1,0.0,294.6,23.82,0,1,0,0
0.196,180.4,20.1,67.4,19.89,13.89,68.36,960.7,86.5,10425,192057,35.18173,-97.43926,330.3,0.0,294.6,23.82,0,1,0,0
0.196,180.7,20.1,67.5,19.88,13.91,68.5,960.7,86.7,10425,192058,35.18173,-97.43926,330.5,0.0,294.6,23.82,0,1,0,0
0.196,163.0,20.1,67.5,19.86,13.91,68.59,960.69,86.6,10425,192059,35.18173,-97.43926,330.7,0.0,294.6,23.82,0,1,0,0
